country,scoredemo,scorelibeco,scoreparpol,scorepbi,cpiscore,educasec,gini_ind
Albania,6.08,66.6,29.5,6.067882439,35,33.2,33.2
Algeria,3.77,45.8,25.8,4.43825778,33,27.6,27.6
Angola,3.66,52.6,30,11.03182991,29,51.3,51.3
Argentina,6.95,50.1,40.9,7.729488996,38,41.4,41.4
Armenia,5.35,65.3,23.5,14.64320764,49,34.4,34.4
Australia,8.96,77.7,30,1.807784024,73,34.4,34.4
Austria,8.16,73.8,39.3,1.549877317,74,29.7,29.7
Azerbaijan,2.68,61.6,17.4,26.66009477,30,33.7,33.7
Bangladesh,5.99,52.7,20.9,4.965840614,26,32.4,32.4
Belarus,2.59,53,40,10.14976717,41,25.2,25.2
Belgium,7.51,69.6,41.3,1.760455594,73,27.4,27.4
Benin,4.58,61,7.2,-1.245889709,42,47.8,47.8
Bhutan,5.71,59.3,14.9,5.644230192,68,37.4,37.4
Bosnia and Herzegovina,4.84,63.4,26.2,3.865777043,35,33,33
Botswana,7.62,64.8,10.8,2.607174849,55,53.3,53.3
Brazil,6.92,53.3,14.6,2.026304229,38,53.9,53.9
Bulgaria,6.71,71,26.7,7.865500223,42,40.4,40.4
Burkina Faso,3.73,58.3,13.4,5.493492362,42,35.3,35.3
Burundi,2.14,39.4,38.2,-2.294461494,19,38.6,38.6
Cambodia,3.1,57.1,20,11.48495835,23,37.9,37.9
Cameroon,2.77,52.9,33.9,-0.504706541,27,46.5,46.5
Canada,9.24,76.6,29,4.008877889,74,33.3,33.3
Central African Republic,1.32,45.7,8.6,-1.053217533,24,43.6,43.6
Chad,1.55,49.8,15.4,13.12726855,20,43.3,43.3
Chile,8.28,74.4,22.6,4.739997784,67,44.4,44.4
China,2.27,48,24.9,10.74137513,45,38.5,38.5
Colombia,7.04,65.1,18.3,3.423322226,39,50.4,50.4
Comoros,3.09,50.4,16.7,0.41719798,20,45.3,45.3
Costa Rica,8.16,65.4,45.6,2.512478291,58,48,48
Croatia,6.5,67.6,31.1,4.178203319,47,30.4,30.4
Cyprus,7.56,72.9,19.6,3.353772518,53,31.4,31.4
Denmark,9.15,78,39.7,2.055110516,88,28.7,28.7
Dominican Republic,6.32,63,27.9,7.95089605,30,43.7,43.7
Ecuador,6.13,54.3,39.4,3.54392893,36,45.4,45.4
Egypt,2.93,49.1,27.4,2.203154341,33,31.5,31.5
El Salvador,5.9,59.6,33.3,2.229729368,34,38.6,38.6
Estonia,7.84,80,28.7,10.15499479,74,30.4,30.4
Eswatini,3.08,51.4,9.6,5.557738533,32,54.6,54.6
Ethiopia,3.38,49.6,38.8,8.733089642,39,35,35
Fiji,5.72,56.4,19.6,0.241362805,55,36.7,36.7
Finland,9.2,78.3,46,2.428689227,88,27.4,27.4
France,7.99,65.9,39.5,0.89976454,71,31.6,31.6
Gabon,3.54,55.8,14.8,-0.038249644,31,38,38
Georgia,5.31,71.8,20.7,10.28800429,55,36.4,36.4
Germany,8.67,76.1,31.2,0.788917116,80,31.9,31.9
Ghana,6.5,59.8,13.1,3.267291612,43,43.5,43.5
Greece,7.39,61.5,21.7,0.304567957,49,34.4,34.4
Guatemala,4.97,63.2,19.4,1.152934092,25,48.3,48.3
Guinea,3.08,54.2,16.7,0.918509748,25,33.7,33.7
Guyana,6.01,59.5,35.7,-2.006016522,39,44.6,44.6
Honduras,5.36,59.5,21.1,3.547847381,23,52.1,52.1
Hungary,6.56,66.9,12.1,4.502906115,43,30.6,30.6
Iceland,9.37,77,38.1,4.457828851,74,26.8,26.8
India,6.61,53.9,14.4,6.231949735,40,35.7,35.7
Indonesia,6.3,64.4,20.4,4.289591484,38,37.8,37.8
Ireland,9.05,82,22.5,3.457447315,74,32.8,32.8
Israel,7.84,68,27.5,2.338688708,59,37,37
Italy,7.74,65.4,35.7,0.323656244,56,35.9,35.9
Jamaica,7.13,67.4,28.6,0.342085609,44,35,35
