country,value
Afghanistan,29.4
Albania,33.2
Algeria,27.6
Angola,51.3
Argentina,41.4
Armenia,34.4
Australia,34.4
Austria,29.7
Azerbaijan,33.7
Bangladesh,32.4
Belarus,25.2
Belgium,27.4
Benin,47.8
Bhutan,37.4
Bolivia,42.2
Bosnia and Herzegovina,33
Botswana,53.3
Brazil,53.9
Bulgaria,40.4
Burkina Faso,35.3
Burma,30.7
Burundi,38.6
Cabo Verde,42.4
Cambodia,37.9
Cameroon,46.5
Canada,33.3
Central African Republic,43.6
Chad,43.3
Chile,44.4
China,38.5
Colombia,50.4
Comoros,45.3
"Congo, Democratic Republic of the",42.1
"Congo, Republic of the",48.9
Costa Rica,48
Cote d'Ivoire,41.5
Croatia,30.4
Cyprus,31.4
Czechia,24.9
Denmark,28.7
Djibouti,41.6
Dominican Republic,43.7
Ecuador,45.4
Egypt,31.5
El Salvador,38.6
Estonia,30.4
Eswatini,54.6
Ethiopia,35
Falkland Islands (Islas Malvinas),36
Faroe Islands,22.7
Fiji,36.7
Finland,27.4
France,31.6
Gabon,38
"Gambia, The",35.9
Gaza Strip,33.7
Georgia,36.4
Germany,31.9
Ghana,43.5
Greece,34.4
Greenland,33.9
Guatemala,48.3
Guinea,33.7
Guinea-Bissau,50.7
Guyana,44.6
Haiti,41.1
Honduras,52.1
Hong Kong,53.9
Hungary,30.6
Iceland,26.8
India,35.7
Indonesia,37.8
Iran,40.8
Iraq,29.5
Ireland,32.8
Israel,37
Italy,35.9
Jamaica,35
Japan,32.9
Jersey,0.3
Jordan,33.7
Kazakhstan,27.5
Kenya,40.8
"Korea, South",35.4
Kosovo,29
Kyrgyzstan,27.7
Laos,36.4
Latvia,35.6
Lebanon,31.8
Lesotho,44.9
Liberia,35.3
Lithuania,37.3
Luxembourg,34.9
Macau,35
Madagascar,42.6
Malawi,44.7
Malaysia,41
Maldives,31.3
Mali,40.1
Malta,29.2
Mauritania,32.6
Mauritius,36.8
Mexico,36.8
"Micronesia, Federated States of",40.1
Moldova,25.7
Mongolia,32.7
Montenegro,39
Morocco,39.5
Mozambique,54
Namibia,59.1
Nepal,32.8
Netherlands,28.5
New Zealand,36.2
Nicaragua,46.2
Niger,34.3
Nigeria,35.1
North Macedonia,34.2
Norway,27
Pakistan,33.5
Panama,49.2
Papua New Guinea,50.9
Paraguay,46.2
Peru,42.8
Philippines,44.4
Poland,29.7
Portugal,33.8
Qatar,41.1
Romania,36
Russia,37.5
Rwanda,43.7
Saint Lucia,51.2
Samoa,38.7
Sao Tome and Principe,56.3
Saudi Arabia,45.9
Senegal,40.3
Serbia,36.2
Seychelles,46.8
Sierra Leone,35.7
Singapore,45.9
Slovakia,25.2
Slovenia,24.2
Solomon Islands,37.1
South Africa,63
South Sudan,46
Spain,34.7
Sri Lanka,39.8
Sudan,34.2
Sweden,28.8
Switzerland,32.7
Taiwan,33.6
Tajikistan,34
Tanzania,40.5
Thailand,36.4
Timor-Leste,28.7
Togo,43.1
Tonga,37.6
Tunisia,32.8
Turkey (Turkiye),41.9
Turkmenistan,40.8
Tuvalu,39.1
Uganda,42.8
Ukraine,26.1
United Arab Emirates,32.5
United Kingdom,34.8
United States,41.1
Uruguay,39.7
Uzbekistan,36.8
Vanuatu,37.6
Venezuela,39
Vietnam,35.7
West Bank,33.7
Yemen,36.7
Zambia,57.1
Zimbabwe,44.3
