Country;%w;pbi
Afghanistan;27;-4.575031864
Albania;29.5;-2.925820957
Algeria;25.8;-6.826963623
Andorra;46.4;-11.32073035
Angola;30;-8.493086121
Antigua and Barbuda;11.1;-20.85493493
Argentina;40.9;-10.76510773
Armenia;23.5;-7.572060526
Australia;30;-1.278526283
Austria;39.3;-7.120927967
Azerbaijan;17.4;-4.952701739
Bahamas;12.8;0.888676588
Bahrain;15;-8.311347434
Bangladesh;20.9;2.415855202
Barbados;20;-14.08611503
Belarus;40;-0.479446185
Belgium;41.3;-6.132229512
Belize;9.7;-18.27224871
Benin;7.2;1.090098527
Bhutan;14.9;-11.06902884
Bolivia (Plurinational State of);46.2;#N/A
Bosnia and Herzegovina;26.2;-2.523297319
Botswana;10.8;-10.58640629
Brazil;14.6;-4.561462507
Brunei Darussalam;9.1;0.165658547
Bulgaria;26.7;-3.811515942
Burkina Faso;6.3;-0.907160523
Burundi;38.2;-2.712024741
Cabo Verde;25;-15.71099847
Cambodia;20;-4.443176856
Cameroon;33.9;-2.042454665
Canada;29;-6.31922237
Central African Republic;8.6;-0.867089762
Chad;15.4;-4.46934426
Chile;22.6;-6.785702733
China;24.9;1.996619014
Colombia;18.3;-8.040898507
Comoros;16.7;-2.437632792
Congo;11.3;1.110159543
Costa Rica;45.6;-4.927747219
Cote d'Ivoire;11.4;-0.599377217
Croatia;31.1;-7.700776427
Cuba;53.2;-10.89434366
Cyprus;19.6;-6.055135126
Czech Republic;22.5;-6.026656549
Democratic People's Republic of Korea;17.6;#N/A
Democratic Republic of the Congo;12.8;#N/A
Denmark;39.7;-2.347336032
Djibouti;26.2;-0.277593604
Dominica;34.4;-16.81690055
Dominican Republic;27.9;-7.657060908
Ecuador;39.4;-9.195656221
Egypt;27.4;3.492046874
El Salvador;33.3;-9.041506281
Equatorial Guinea;21;-7.449593578
Eritrea;-;0
Estonia;28.7;-3.14261532
Eswatini;9.6;-2.868343171
Ethiopia;38.8;3.39811006
Fiji;19.6;-15.76500599
Finland;46;-2.439493859
France;39.5;-8.034379209
Gabon;14.8;-4.181858235
Gambia (The);8.6;#N/A
Georgia;20.7;-6.824432632
Germany;31.2;-4.647544976
Ghana;13.1;-1.605116474
